Image,Original image entropy,Quantized entropy (bits/symbol),Encoded entropy (Shannon/pixel),MSE
lake.jpg,7.49,1.70,1.02,14.20
woman_blonde.jpg,7.16,1.54,0.92,11.82
woman_darkhair.jpg,7.27,0.73,0.46,3.46
cameraman.jpg,7.05,1.00,0.58,4.11
lena.jpg,7.45,1.18,0.71,7.66
jetplane.jpg,6.72,1.19,0.71,6.15
house.jpg,5.77,0.68,0.43,1.99
peppers_gray.jpg,7.58,1.43,0.91,14.80
livingroom.jpg,7.44,1.60,0.95,11.22
pirate.jpg,7.31,1.54,0.92,10.39
mandril_gray.jpg,7.29,1.64,0.99,8.79
walkbridge.jpg,7.71,2.19,1.34,16.87
